rid,Name,Time,"Meal (1=B, 2=L/D, 3=S)",Calories,Protein,Fats,Carbs,Tags,Source
40,Breakfast Rainbow Hash,10,1,431,43,22,14,"TURKEY, EGGS",https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
41,Breakfast Taquitos,10,1,422,18,28,26,"Sausage, Eggs",https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
42,Egg Stuffed Avocados,2,1,293,10,25,9,Eggs,https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
43,Ham Breakfast Roll Up,10,1,259,18,17,7,"Eggs, pork",https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
44,Portebello Bacon Avocado Breakfast Sandwich,9,1,320,18,19,8,"Eggs, pork",https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
45,Sausage and Egg Muffins,5,1,289,18,24,1,"Sausage, Eggs",https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
46,tomato egg cups,10,1,187,15,10,10,eggs,https://s3.us-east-2.amazonaws.com/iifym-pdf/IIFYM_100-recipe_ebook.pdf
47,three-bean chili with chunky tomatoes,30,2,443,22,8,73,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
48,caribbean pink beans,60,3,133,6,0,28,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
49,edamame stew,40,2,285,16,10,40,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
50,tofu stir-fry with spicy sauce,50,2,232,16,10,23,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
51,asparagus with lemon sauce,15,3,39,2,0,7,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
52,cauliflower with whole-wheat breadcrumbs,20,3,45,2,4,5,Vegetarian,https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
53,"couscous with carrots, walnuts, and raisins",17,3,218,6,4,39,"Vegetarian, Carbs",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
54,good-for-youcornbread,35,3,178,4,6,27,"Vegetarian, Carbs",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
55,savory brown rice,35,3,246,7,5,43,"Vegetarian, Carbs",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
56,beef steak with carrots and mint,30,2,191,19,9,9,"Beef, Protein",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
57,broiled sirloin with spicy mustard and apple chutney,45,2,285,23,8,32,"Beef, Protein",https://healthyeating.nhlbi.nih.gov/pdfs/Dinners_Cookbook_508-compliant.pdf
58,coco banana smoothie,10,1,539,37,25,50,Vegetarian,https://www.marriedtomymacros.com/breakfast/2021/5/16/coco-banana-protein-smoothie-high-and-low-calorie-options
59,soft boiled eggs,15,1,79,6,5,0,Vegetarian,https://www.marriedtomymacros.com/breakfast/2021/5/1/perfect-soft-and-hard-boiled-egg
60,sweet potato toast,20,1,411,24,19,36,Vegetarian,https://www.marriedtomymacros.com/breakfast/2021/4/3/air-fryer-sweet-potato-toast
61,breakfast burritos,30,1,417,29,18,36,"Eggs, pork",https://www.marriedtomymacros.com/breakfast/2021/3/22/freezer-breakfast-burritos
